Item,Profile
DISP Geek Bar Pulse 5% Blue Razz Ice,"Blue Razz, Ice, Blue Raspberry, Fruit, Candy"
DISP Geek Bar Pulse 5% Meta Moon,"Papaya, Strawberry, Watermelon, Fruit"
DISP Geek Bar Pulse 5% Pink Lemonade,"Citrus, Lemonade, Pink Lemonade, Strawberry, Fruit"
DISP Geek Bar Pulse 5% Strawberry Banana,"Strawberry, Banana, Fruit"
DISP Geek Bar Pulse 5% Tropical Rainbow Blast,"Tropical, Candy, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Fruit, Candy"
DISP Geek Bar Pulse 5% Watermelon Ice,"Watermelon, Ice, Fruit, Menthol"
DISP Geek Bar Pulse 5% Black Cherry,"Black Cherry, Fruit"
DISP Geek Bar Pulse 5% Blue Mint,"Blueberry, Mint, Ice, Menthol, Fruit"
DISP Geek Bar Pulse 5% California Cherry,"Cherry, Fruit"
DISP Geek Bar Pulse 5% Dragon Melon,"Dragonfruit, Pear, Watermelon, Fruit"
DISP Geek Bar Pulse 5% Grape Blo Pop,"Grape, Bubblegum, Fruit, Candy"
DISP Geek Bar Pulse 5% Juicy Peach Ice,"Peach, Ice, Menthol, Fruit"
DISP Geek Bar Pulse 5% Mexico Mango,"Mango, Fruit"
DISP Geek Bar Pulse 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Menthol"
DISP Geek Bar Pulse 5% Sour Apple Ice,"Green Apple, Sour Apple, Ice, Menthol, Fruit, Candy"
DISP Geek Bar Pulse 5% Strawberry Mango,"Mango, Strawberry, Fruit"
DISP Geek Bar Pulse 5% White Gummy Ice,"Pineapple, Gummy, Ice, Menthol, Fruit, Candy"
DISP Geek Bar Pulse 5% Cherry Bomb,"Cherry, Ice, Menthol, Fruit"
DISP KROS 3 Unlimited 3% 6000 Puffs - Spearmint,"Spearmint, Ice, Menthol, Mint"
DISP KROS 3 Unlimited 3% 6000 Puffs - Tropical Rainbow Twist,"Tropical, Candy, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Fruit, Candy"
DISP KROS 3 Unlimited 3% 6000 Puffs - Vanilla Wafer,"Vanilla, Dessert, Cream"
