Item,Profile
SALT ML Jam Monster Peach,"Peach, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Raspberry,"Raspberry, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Strawberry,"Strawberry, Jam, Butter, Toast, Dessert"
SALT ML Lemonade Monster Blueberry Lemonade,"Blueberry, Lemon, Lemonade, Fruit"
SALT ML Lemonade Monster Mango Lemonade,"Mango, Lemon, Lemonade, Fruit"
SALT ML Lemonade Monster Mint Lemonade,"Mint, Lemon, Lemonade, Spearmint, Ice"
SALT ML Lemonade Monster Pink Lemonade,"Lemonade, Lemon, Citrus, Fruit"
SALT ML Lemonade Monster Strawberry Lemonade,"Lemon, Lemonade, Strawberry, Fruit"
SALT ML Lemonade Monster Watermelon Lemonade,"Lemonade, Lemon, Watermelon, Fruit"
SALT ML The Milk Berry Crunch,"Milk, Berry, Strawberry, Blueberry, Raspberry, Cream, Dessert, Cereal"
SALT ML The Milk Cinnamon,"Milk, Cinnamon, Cream, Dessert, Cereal"
SALT ML The Milk Fruity,"Fruity Pebbles, Cereal, Milk, Cream, Dessert"
SALT ML The Milk Jax,"Milk, Apple, Cinnamon, Cream, Dessert, Cereal"
SALT ML Tobacco Monster Smooth,"Tobacco, Sweet, Cream"
SALT MRKT PLCE Blood Orange Tangoberry,"Blood Orange, Tangerine, Orange, Grapefruit, Blueberry, Fruit"
SALT MRKT PLCE Fuji Pear Mangoberry,"Pear, Mango, Apple, Raspberry, Fruit"
SALT Naked 100 American Patriot,Tobacco
SALT Naked 100 Berry Menthol,"Berry, Blueberry, Blackberry, Raspberry, Menthol, Ice, Fruit"
SALT Naked 100 Cuban Blend,"Tobacco, Smooth"
SALT Naked 100 Euro Gold,"Tobacco, Light"
SALT Naked 100 Hawaiian POG,"Passionfruit, Orange, Guava, Fruit, Tropical"
SALT Naked 100 Lava Flow,"Strawberry, Coconut, Pineapple, Pina Colada, Fruit"
SALT Naked 100 Mango,"Mango, Peach, Cream, Fruit"
SALT Naked 100 Max Apple Ice,"Apple, Ice, Menthol, Fruit"
SALT Naked 100 Max Berries Ice,"Blueberry, Blackberry, Raspberry, Ice, Menthol, Fruit"
SALT Naked 100 Max Peach Mango Ice,"Peach, Mango, Menthol, Ice, Fruit"
SALT Naked 100 Max Pineapple Ice,"Pineapple, Fruit, Ice, Menthol"
SALT Naked 100 Max Strawberry Ice,"Strawberry, Fruit, Menthol, Ice"
SALT Naked 100 Max Watermelon Ice,"Watermelon, Ice, Fruit, Menthol"
SALT Naked 100 Max White Guava Ice,"Guava, Ice, Menthol, Fruit"
SALT Naked 100 Melon Kiwi,"Melon, Kiwi, Honeydew, Apple, Fruit"
SALT Naked 100 Melon Menthol,"Melon, Menthol, Pineapple, Honeydew, Cantaloupe, Ice, Fruit"
SALT Naked 100 Mint Menthol,"Mint, Menthol, Cool, Ice"
SALT Naked 100 Really Berry,"Blueberry, Blackberry, Lemon, Fruit"
SALT Naked 100 Strawberry Pom Menthol,"Strawberry, Kiwi, Pomegranate, Ice, Menthol, Fruit"
SALT Noms Grapenomenon,"Grape, Candy, Fruit"
SALT Noms Phenomenon,"Mystery, Fruit, Tropical"
SALT Noms Watanomenon,"Watermelon, Fruit, Candy"
SALT Noms X2 Cactus Jackfruit Mandarine,"Cactus, Jackfruit, Mandarin, Fruit"
SALT Noms X2 Cherry Lime Ginger,"Cherry, Lime, Ginger, Fruit"
SALT Noms X2 Kiwi Passion Fruit Nectarine,"Kiwi, Passionfruit, Nectarine, Fruit"
SALT Noms X2 White Peach Raspberry,"Peach, Raspberry, Fruit"
SALT Pachamama Apple Tobacco,"Apple, Tobacco"
SALT Pachamama Black Ice,"Blackberry, Ice, Menthol, Fruit, Cucumber"
SALT Pachamama Blue Razz Ice,"Blue Razz, Sweet, Blue Raspberry, Ice, Mint, Candy, Fruit"
SALT Pachamama Cherry Limeade,"Cherry, Lime, Lemon, Fruit"
SALT Pachamama Frosted Cronut,"Vanilla, Caramel, Donut, Dessert"
SALT Pachamama Fuji,"Apple, Strawberry, Nectarine, Fruit"
SALT Pachamama Fuji Ice,"Apple, Strawberry, Nectarine, Fruit, Ice, Menthol"
SALT Pachamama Golden Peach Pineapple,"Peach, Pineapple, Fruit"
SALT Pachamama Honeydew Melon,"Melon, Honeydew, Fruit"
SALT Pachamama Icy Mango,"Mango, Ice, Fruit, Menthol"
SALT Pachamama Kiwi Berry Ice,"Kiwi, Strawberry, Blueberry, Ice, Menthol, Fruit"
SALT Pachamama Kiwi Guava Passionfruit,"Kiwi, Guava, Passionfruit, Fruit"
SALT Pachamama Pink Berry Ice,"Berry, Strawberry, Raspberry, Menthol, Ice, Fruit"
SALT Pachamama Purple Mango,"Mango, Fruit, Candy"
SALT Pachamama Sorbet,"Raspberry, Lemon, Fruit"
SALT Pachamama Starfruit Grape,"Starfruit, Grape, Fruit"
SALT Pachamama Starfruit Grape Ice,"Starfruit, Grape, Fruit, Ice, Menthol"
SALT Pachamama Strawberry Watermelon,"Strawberry, Watermelon, Fruit, Candy"
SALT Pachamama Syn Citrus Medley,"Orange, Lemon, Lime, Grapefruit, Fruit, Citrus"
SALT Pachamama White Peach Ice,"Peach, Fruit, Menthol, Ice"
SALT Pinup Vapors Beach Betty,"Tropical Fruits, Berries, Mixed Fruit, Fruit, Mystery, Pina Colada, Pineapple, Coconut"
SALT Pinup Vapors Betty,"Tropical Fruits, Berries, Mixed Fruit, Mystery, Fruit"
SALT Pinup Vapors Betty Chill,"Tropical Fruits, Berries, Mixed Fruit, Mystery, Fruit, Ice, Menthol"
SALT Pinup Vapors Christie,"Pineapple, Coconut, Pina Colada, Fruit"
SALT Pinup Vapors Marilyn,"Vanilla, Caramel, Cream, Butterscotch, Dessert"
SALT Pinup Vapors Rita,"Orange, Pineapple, Cherry, Strawberry, Grape, Fruit, Candy, Smarties"
SALT Pod Juice Aloe Grape,"Aloe, Grape, Fruit"
SALT Pod Juice Aloe Grape Freeze,"Aloe, Grape, Menthol, Ice, Fruit"
SALT POD Juice Banana Freeze,"Banana, Fruit, Candy, Ice, Menthol"
SALT Pod Juice Blue Razz Freeze,"Blue Raspberry, Blue Razz, Ice, Candy, Fruit, Menthol"
SALT Pod Juice Blue Razz Jam,"Blue Raspberry, Jam, Blue Razz, Fruit, Candy"
SALT Pod Juice Blue Razz Slushy,"Blue Raspberry, Blue Razz, Slushy, Fruit, Candy"
SALT Pod Juice Blue Razz Slushy Freeze,"Blue Raspberry, Blue Razz, Slushy, Fruit, Candy, Ice, Menthol"
SALT Pod Juice Cola Freeze,"Cola, Ice, Menthol"
SALT Pod Juice Cotton Clouds,"Blue Razz, Blue Raspberry, Strawberry, Vanilla, Cotton Candy, Candy, Fruit"
SALT Pod Juice Frozen Strawberry Freeze,"Strawberry, Ice, Menthol"
SALT Pod Juice Fruity Bears Freeze,"Fruit, Raspberry, Orange, Strawberry, Pineapple, Lemon, Ice, Menthol"
SALT POD Juice Fruity Bears Freeze,"Fruit, Raspberry, Orange, Strawberry, Pineapple, Lemon, Ice, Menthol"
SALT Pod Juice Graham Cracker,"Sweet, Cinnamon, Milk, Dessert, Graham"
SALT Pod Juice Hawaiian,"Pineapple, Orange, Guava, Fruit"
SALT Pod Juice Jewel Mint,"Mint, Ice, Menthol, Spearmint"
SALT Pod Juice Jewel Mint Diamond,"Mint, Unsweet, Menthol, Ice"
SALT Pod Juice Jewel Mint Ice,"Mint, Menthol, Cool, Ice"
SALT Pod Juice Jewel Mint Lush Freeze,"Watermelon, Fruit, Ice, Menthol, Mint"
SALT Pod Juice Jewel Mint Sapphire,"Mint, Ice, Menthol, Wintergreen"
SALT Pod Juice Loops,"Fruit Loops, Cereal, Milk, Dessert"
SALT Pod Juice PJ5000 Jewel Malibu Mint,"Mint, Citrus, Lemon, Lime, Menthol, Orange, Fruit, Ice"
SALT Pod Juice PJ5000 Sakura Grape,"Cherry Blossom, Grape, Fruit"
SALT Pod Juice Pod Energy Freeze,"Redbull, Energy Drink, Ice, Menthol"
SALT Pod Juice Sour Fruity Worms,"Gummy Worms, Gummy, Candy, Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Fruit"
SALT Pod Juice Strawberry Banana,"Strawberry, Banana, Fruit"
SALT POD Juice Strawberry Jam,"Strawberry, Jam, Sweet, Fruit"
SALT Pod Juice Virginia Tobacco,Tobacco
SALT Propaganda Blue Frost,"Blue Raspberry, Blue Razz, Slushy, Fruit, Candy"
SALT Propaganda Cookie Butter,"Vanilla, Oatmeal Cookie, Cream, Cookie, Milk, Dessert"
SALT Propaganda Illuminati,"Blood Orange, Strawberry, Pineapple, Fruit"
SALT Propaganda Wild Fire,"Almond, Chocolate, Cookie, Dessert"
SALT Sadboy B Coconut Cake,"Coconut, Cake, Vanilla, Cream, Dessert"
SALT Sadboy B Strawberry Cheesecake,"Strawberry, Cheesecake, Cream, Graham, Dessert"
SALT Sadboy C Blueberry Cookie,"Blueberry, Cookie, Dessert"
SALT Sadboy C Butter Cookie,"Butter, Cookie, Lemon, Dessert"
SALT Sadboy C Custard Cookie,"Custard, Vanilla, Cookie, Dessert"
SALT Sadboy C Key Lime Cookie,"Lime, Cookie, Key Lime, Dessert"
SALT Sadboy C Pumpkin Cookie,"Pumpkin, Cinnamon, Cookie, Dessert, Nutmeg"
SALT Sadboy C Shamrock Cookie,"Mint, Cookie, Dessert"
SALT Sadboy C Unicorn Tears,"Citrus, Cookie, Dessert"
SALT Sadboy F Punch Berry Blood,"Strawberry, Blackberry, Blueberry, Lemon, Raspberry, Lemonade, Candy, Fruit"
SALT Sadboy F Rainbow Blood,"Strawberry, Blackberry, Blueberry, Raspberry, Lemonade, Fruit"
SALT Sadboy F Strawberry Blood,"Strawberry, Candy, Fruit"
SALT Sadboy FI Punch Berry Blood Ice,"Strawberry, Blackberry, Blueberry, Lemon, Raspberry, Lemonade, Candy, Fruit, Ice, Menthol"
SALT Sadboy FI Rainbow Blood Ice,"Strawberry, Blackberry, Blueberry, Raspberry, Lemonade, Fruit"
SALT Sadboy Happy End Blue,"Blue Raspberry, Blue Razz, Cotton Candy, Candy, Fruit"
SALT Sadboy Happy End Pink,"Strawberry, Cotton Candy, Candy, Fruit"
SALT Sadboy J Blueberry Jam,"Blueberry, Cookie, Dessert, Jam"
SALT Sadboy J Lemon Cookie,"Cookie, Lemon, Dessert, Jam"
SALT Sadboy J Strawberry Jam,"Strawberry, Cookie, Jam, Dessert"
SALT Sadboy Nola Bar Berry,"Cream, Blueberry, Granola, Dessert"
SALT Sadboy Nola Bar Strawberry,"Cream, Strawberry, Granola, Dessert"
SALT Shijin Tortoise Blood,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Sherbert"
SALT Shijin Tortoise Blood on ICE,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Menthol, Ice"
SALT Shijin Tortoise Blood on the Rocks,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Spearmint, Ice, Mint"
SALT Skwezed Iced Green Apple Ice,"Apple, Green Apple, Ice, Menthol, Fruit"
SALT Skwezed Iced Lychee Ice,"Lychee, Fruit, Ice, Menthol"
SALT Skwezed Iced Peach Ice,"Peach, Ice, Fruit, Menthol"
SALT Skwezed Iced Watermelon Ice,"Watermelon, Ice, Fruit, Menthol, Lush Ice"
SALT Skwezed Iced Watermelon White Grape Ice WWG2I5,"White Grape, Grape, Watermelon, Ice, Menthol"
SALT Skwezed Iced Watermelon White Grape Ice WWG5I0,"White Grape, Grape, Watermelon, Ice, Menthol"
SALT Skwezed R Green Apple,"Apple, Green Apple, Fruit"
SALT Skwezed R Lychee,"Lychee, Fruit"
SALT Skwezed R Peach,"Peach, Fruit"
SALT Skwezed R Watermelon,"Watermelon, Fruit"
SALT Skwezed R Watermelon White Grape,"Watermelon, White Grape, Grape, Fruit"
SALT Steam Co. Gentleman's Reserve,"Vanilla, Almond, Coconut, Bourbon, Dessert"
SALT Taylor Flavors - Cool Menthol,"Blue Raspberry, Blue Razz, Fruit, Candy, Ice, Menthol"
SALT Taylor Flavors Pinky Palmer,"Strawberry, Lemon, Lemonade, Iced Tea, Tea, Fruit"
SALT Taylor Flavors Snickerdoodle Crunch,"Vanilla, Cream, Cinnamon, Sugar, Cookie, Dessert"
SALT The Finest Cool Mint,"Mint, Spearmint, Cool, Ice, Menthol"
SALT The Finest Lychee Dragon,"Lychee, Dragonfruit, Fruit, Strawberry"
SALT The Finest Tiramisu Custard,"Coffee, Cream, Tiramisu, Vanilla, Custard, Graham, Dessert"
SALT Twist Blend No.1,"Orange, Strawberry, Blueberry, Pineapple, Fruit"
SALT Twist Green No.1,"Honeydew, Cantaloupe, Candy, Melon, Fruit"
SALT Twist Menthol No.1,"Menthol, Ice"
SALT Twist Mint 0,"Mint, Wintergreen, Ice, Menthol"
SALT Twist Mint No.1,"Mint, Spearmint, Cool, Ice, Menthol"
SALT Twist Pink 0,"Lemon, Lemonade, Strawberry, Ice, Menthol, Fruit"
SALT Twist Pink No.1,"Lemon, Lemonade, Strawberry, Fruit"
SALT Twist Purple Grape,"Grape, Berry, Strawberry, Blueberry, Raspberry, Fruit"
SALT Twist Purple No. 1,"Berry, Blueberry, Strawberry, Raspberry, Lemonade, Lemon, Fruit"
SALT Twist Red No.1,"Watermelon, Lemon, Lemonade, Fruit"
SALT Twist Tobacco Gold No.1,Tobacco
SALT Vapetasia Killer Kustard,"Cream, Vanilla, Custard, Dessert"
SALT Vapetasia Killer Kustard Blueberry,"Blueberry, Cream, Custard, Dessert"
SALT Vapetasia Killer Kustard Strawberry,"Strawberry, Cream, Custard, Dessert"
SALT Vapetasia Milk of the Poppy,"Milk, Cream, Strawberry, Dragonfruit, Dessert"
SALT Vapetasia Royalty 2,"Tobacco, Hazelnut, Vanilla, Cream, Custard, Dessert"
SALT Verdict Vapors Convict - Strawberry Milk,"Strawberry, Milk, Cream, Marshmallow, Dessert"
SALT Verdict Vapors Mints Chocomint,"Mint, Chocolate, Spearmint, Ice, Menthol, Candy"
SALT Verdict Vapors Mints Peppermint,"Mint, Peppermint, Menthol, Ice"
SALT Verdict Vapors Mints Spearmint,"Mint, Spearmint, Ice, Menthol"
SALT Verdict Vapors Mints Wintergreen,"Mint, Wintergreen, Ice, Menthol"
SALT Verdict Vapors Warden - Hazelnut Pecan Butter,"Hazelnut, Pecan, Butter, Cream, Vanilla, Dessert"
SALT VGod Apple Bomb,"Apple, Green Apple, Fruit, Candy"
SALT VGod Berry Bomb,"Strawberry, Fruit, Candy"
SALT VGod Cubano,"Tobacco, Cigar, Vanilla"
SALT VGod Cubano Black,"Tobacco, Custard, Vanilla"
SALT VGod Cubano Silver,"Tobacco, Honey, Vanilla, Custard"
SALT VGod Dry Tobacco,Tobacco
SALT VGod Iced Apple Bomb,"Apple, Green Apple, Ice, Menthol, Fruit, Candy"
SALT VGod Iced Berry Bomb,"Strawberry, Fruit, Candy, Ice, Menthol"
SALT VGod Iced Mango Bomb,"Mango, Fruit, Ice, Menthol"
SALT VGod Iced Purple Bomb,"Grape, Fruit, Candy, Ice, Menthol"
SALT VGod Lucious,"Watermelon, Fruit, Candy"
SALT VGod Lush Ice Eliquids,"Watermelon, Ice, Fruit, Menthol, Lush Ice, Candy"
SALT VGod Mango Bomb,"Mango, Fruit"
SALT VGod Mighty Mint,"Mint, Wintergreen, Ice, Menthol"
SALT VGod Purple Bomb,"Grape, Fruit, Candy"
SALT VGod Summer Strawberry,"Strawberry, Ice, Menthol, Fruit"
SALT Yogi Apple Cinnamon Granola Bar,"Apple, Cinnamon, Granola, Dessert, Honey"
SALT Yogi Blueberry Granola Bar,"Blueberry, Granola, Honey, Desserrt"
SALT Yogi Java,"Coffee, Chocolate, Granola, Honey, Dessert"
SALT Yogi Original,"Granola, Honey, Dessert"
SALT Yogi Peanut Butter Banana,"Banana, Peanut Butter, Granola, Honey, Dessert"
SALT Yogi Strawberry Granola Bar,"Strawberry, Granola, Honey, Dessert"
SALT Yogi Vanilla Tobacco,"Vanilla, Tobacco, Cream, Honey, Granola, Dessert"
SUB 7 Daze Fusion Banana Cantaloupe Honeydew,"Banana, Cantaloupe, Honeydew, Fruit"
SUB 7 Daze Fusion Grape Apple Aloe,"Grape, Apple, Aloe, Fruit"
SUB 7 Daze Fusion Kiwi Passionfruit Guava,"Kiwi, Passionfruit, Guava, Fruit"
SUB 7 Daze Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry, Fruit"
SUB 7 Daze Fusion Orange Cream Mango,"Orange, Cream, Mango, Fruit"
SUB 7 Daze Fusion Orange Yuzu Tangerine,"Oranges, Yuzu, Tangerine, Fruit"
SUB 7 Daze Fusion Pineapple Coconut Banana,"Pineapple, Coconut, Banana, Pina Colada, Fruit"
SUB 7 Daze Fusion Pineapple Mango Orange,"Pineapple, Mango, Orange, Fruit"
SUB 7 Daze Fusion Raspberry Green Apple Watermelon,"Raspberry, Green Apple, Watermelon, Apple, Fruit"
SUB 7 Daze Fusion Strawberry Banana Apple,"Strawberry, Banana, Apple, Red Apple, Fruit"
SUB 7 Daze Fusion Strawberry Blackberry Lemon,"Strawberry, Blackberry, Lemon, Fruit"
SUB 7 Daze Fusion Strawberry Mango Nectarine,"Strawberry, Mango, Nectarine, Fruit"
SUB 7 Daze Fusion Watermelon Apple Pear,"Watermelon, Apple, Pear, Red Apple, Fruit"
SUB 7 Daze Fusion Yellow Green Red Mango,"Mango, Fruit"
SUB 7 Daze Iced Fusion Banana Cantaloupe Honeydew Iced,"Banana, Cantaloupe, Honeydew, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Grape Apple Aloe Iced,"Grape, Apple, Aloe, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Grapefruit Orange Mango Iced,"Grapefruit, Orange, Mango, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Kiwi Passionfruit Guava Iced,"Kiwi, Passionfruit, Guava, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Lemon Passionfruit Blueberry Iced,"Lemon, Passionfruit, Blueberry, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Orange Cream Mango Iced,"Orange, Cream, Mango, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Orange Yuzu Tangerine Iced,"Orange, Yuzu, Tangerine, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Pineapple Coconut Banana Iced,"Pineapple, Coconut, Banana, Pina Colada, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Pineapple Mango Orange Iced,"Pineapple, Mango, Orange, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Raspberry Green Apple Watermelon Iced,"Raspberry, Green Apple, Watermelon, Apple, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Strawberry Banana Apple Iced,"Strawberry, Banana, Apple, Red Apple, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Strawberry Blackberry Lemon Iced,"Strawberry, Blackberry, Lemon, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Strawberry Mango Nectarine Iced,"Strawberry, Mango, Nectarine, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Watermelon Apple Pear Iced,"Watermelon, Apple, Pear, Red Apple, Fruit, Ice, Menthol"
SUB 7 Daze Iced Fusion Yellow Green Red Mango Iced,"Mango, Fruit, Ice, Menthol"
SUB 7daze Glacial Mint,"Mint, Cool, Ice, Menthol"
SUB 7daze Glacial Mint 100m,"Mint, Cool, Ice, Menthol"
SUB 7daze Reds Apple Berries,"Apple, Berries, Red Apple, Blueberry, Raspberry, Pomegranate, Fruit"
SUB 7daze Reds Apple Fruit Mix,"Apple, Red Apple, Pineapple, Orange, Passionfruit, Fruit"
SUB 7daze Reds Apple Gold Kiwi,"Apple, Kiwi, Fruit, Red Apple"
SUB 7daze Reds Apple Gold Kiwi Iced,"Apple, Kiwi, Red Apple, Ice, Fruit, Menthol"
SUB 7daze Reds Apple Grape,"Apple, Grape, Red Apple, Fruit"
SUB 7daze Reds Apple Original,"Apple, Red Apple, Fruit"
SUB 7daze Reds Apple Peach,"Apple, Peach, Red Apple, Fruit"
SUB 7daze Reds Apple Strawberry,"Apple, Strawberry, Red Apple, Fruit"
SUB 7daze Reds Apple Strawberry 06mgAS6,"Apple, Strawberry, Red Apple, Fruit"
SUB 7daze Reds Apple Watermelon,"Apple, Watermelon, Red Apple, Fruit"
SUB 7daze Reds Iced Apple Berries Iced,"Apple, Berries, Red Apple, Blueberry, Raspberry, Pomegranate, Fruit, Ice, Menthol"
SUB 7daze Reds Iced Apple Fruit Mix Iced,"Apple, Red Apple, Pineapple, Orange, Passionfruit, Fruit, Ice, Menthol"
SUB 7daze Reds Iced Apple Grape Iced,"Apple, Grape, Red Apple, Fruit, Ice, Menthol"
SUB 7daze Reds Iced Apple Original Iced,"Apple, Red Apple, Ice, Fruit, Menthol"
SUB 7daze Reds Iced Apple Peach Iced,"Apple, Peach, Ice, Fruit, Menthol, Red Apple"
SUB 7daze Reds Iced Apple Strawberry Ice,"Apple, Strawberry, Red Apple, Fruit, Ice, Menthol"
SUB 7daze Reds Iced Apple Watermelon Iced,"Apple, Watermelon, Red Apple, Fruit, Ice, Menthol"
SUB 7Daze Reds Slapple,"Apple, Red Apple, Fruit, Blue Raspberry, Blue Razz, Candy"
SUB 7Daze Reds Slapple Iced,"Apple, Red Apple, Fruit, Blue Raspberry, Blue Razz, Candy, Ice, Menthol"
SUB Air Factory Bold Tobacco,Tobacco
SUB Air Factory Menthol,"Menthol, Ice"
SUB Air Factory Mint,"Mint, Cool, Ice, Menthol"
SUB Air Factory Tobacco,Tobacco
SUB Air Factory Unflavored,"Unflavored, Flavorless"
SUB Alt Zero Excision Harambe,"Banana, Strawberry, Blackberry, Blueberry, Fruit, Smoothie"
SUB Alt Zero Excision Paradox,"Grape, Citrus, Blackberry, Fruit"
SUB Alt Zero Excision Paradox OTR,"Grape, Citrus, Blackberry, Ice, Fruit, Menthol"
SUB Alt Zero Excision Robokitty Cream,"Vanilla, Cake, Strawberry, Cream, Dessert"
SUB Alt Zero Excision Virus,"Lemon, Lime, Citrus, Mtn Dew, Mountain Dew, Fruit"
SUB Alt Zero Excision X Rated,"Blueberry, Raspberry, Blackberry, Yogurt, Vanilla, Cream, Fruit, Dessert"
SUB Alt Zero Just Blues,"Blue, Candy, Blueberry, Blue Razz, Blue Raspberry, Fruit"
SUB Alt Zero Just Reds,"Red, Candy, Strawberry, Watermelon, Cherry, Fruit Punch, Fruit, Raspberry"
SUB Bad Drip Bad Blood,"Blueberry, Pomegranate, Vanilla, Dessert, Fruit"
SUB Bad Drip Cereal Trip,"Fruity Pebbles, Cereal, Milk, Cream, Donut, Dessert"
SUB Bad Drip Dont Care Bear,"Peach, Pear, Gummy, Candy, Fruit"
SUB Bad Drip Dont Care Bear Iced Out,"Peach, Pear, Gummy, Candy, Fruit, Ice, Menthol"
SUB Bad Drip Drooly,"Grape, Candy, Fruit"
SUB Bad Drip Farleys Gnarley,"Strawberry, Kiwi, Bubblegum, Candy, Fruit"
SUB Bad Drip Farleys Gnarley Iced Out,"Strawberry, Kiwi, Bubblegum, Candy, Fruit, Ice, Menthol"
SUB Bad Drip God Nectar,"Passion Fruit, Orange, Mango, Guava, Fruit"
SUB Bad Drip God Nectar Iced Out,"Passion Fruit, Orange, Mango, Guava, Fruit, Ice, Menthol"
SUB Bad Drip Ugly Butter,"Cinnamon, Cinnamon Sugar, Banana, Fried Dough, Dessert"
SUB Barista Brew Salted Caramel Macchiato,"Salted Caramel, Macchiato, Coffee, Caramel, Cream, Dessert"
SUB Beard Vape Co. #00 000,"Tobacco, Cappuccino, Coffee, Cream, Dessert"
SUB Beard Vape Co. #00 003,"Tobacco, Cappuccino, Coffee, Cream, Dessert"
SUB Beard Vape Co. #00 006,"Tobacco, Cappuccino, Coffee, Cream, Dessert"
SUB Beard Vape Co. #32,"Funnel Cake, Cinnamon, Vanilla, Dessert"
SUB Beard Vape Co. Apple Cinnamon The One,"Apple, Cinnamon, Donut, Milk, Cream, Dessert"
SUB Beard Vape Co. Blueberry The One,"Blueberry, Donut, Cereal, Milk, Cream, Dessert"
SUB Beard Vape Co. Marshmellow The One,"Marshmallow, Donut, Milk, Cinnamon, Dessert"
SUB Beard Vape Co. Strawberry The One,"Strawberry, Donut, Milk, Cereal, Dessert"
SUB Bluebird Bluebird,"Blueberry, Cheesecake, Milk, Dessert"
SUB Bluebird Lovebird,"Strawberry, Cereal, Milk, Dessert"
SUB Bluebird Luckybird,"Lucky Charms, Marshmallow, Cereal, Milk, Dessert"
SUB Bluebird Redbird,"Strawberry, Cheesecake, Milk, Dessert"
SUB Brewed Awakening Classic,"Coffee, Caramel, Hazelnut, Cream, Dessert"
SUB Candy King Batch 100 ML,"Sour Patch Kids, Candy, Orange, Cherry, Lemon, Lime, Fruit"
SUB Candy King Cola Gummies 100 ML,"Cola, Gummy, Candy"
SUB Candy King Gush 100 ML,"Blueberry, Raspberry, Strawberry, Apple, Green Apple, Orange, Gummy, Candy, Fruit"
SUB Candy King Jaws 100 ML,"Fruit, Blue Raspberry, Blue Razz, Vanilla, Candy"
SUB Candy King Peachy Rings 100 ML,"Peach, Gummy, Candy, Fruit"
SUB Candy King Pink Squares 100 ML,"Strawberry, Gummy, Candy, Fruit"
SUB Candy King Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum, Candy, Fruit"
SUB Candy King Swedish,"Strawberry, Raspberry, Candy, Fruit, Gummy"
SUB Candy King Worms,"Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Gummy, Candy, Fruit"
SUB Cassadega Cannoli Be Breakfast,"Cannoli, Cream, Fruit Loops, Cereal, Dessert"
SUB Cassadega Cannoli Be Cookie,"Cannoli, Cream, Oreo, Cookie, Dessert"
SUB Cassadega Cannoli Be Graham,"Cannoli, Graham, Cream, Dessert"
SUB Cassadega Cannoli Be Mine,"Cannoli, Cream, Strawberry, Dessert"
SUB Cassadega Cannoli Be Nuts,"Cannoli, Cream, Pistachio, Nuts, Dessert"
SUB Cassadega Cannoli Be One,"Cannoli, Cream, Vanilla, Dessert"
SUB Chubby Purp Ice,"Grape, Bubblegum, Candy, Fruit, Ice, Menthol"
SUB Chubby Razz Ice,"Strawberry, Bubblegum, Candy, Fruit, Ice, Menthol"
SUB Chubby Vapes Purp,"Grape, Bubblegum, Candy, Fruit"
SUB Chubby Vapes Strawberry,"Strawberry, Bubblegum, Candy, Fruit"
SUB Cloud Chemist Cereal Science,"Cereal, Milk, Berry, Strawberry, Blueberry, Raspberry, Dessert"
SUB Cloud Chemist Claws,"Caramel, Green Apple, Apple, Pastrey, Dessert"
SUB Cloud Chemist Frosty Science,"Frosted Flakes, Cereal, Milk, Dessert"
SUB Cloud Chemist Frosty Science Apple,"Frosted Flakes, Cereal, Milk, Dessert, Apple"
SUB Cloud Chemist Frosty Science Blueberry,"Frosted Flakes, Cereal, Milk, Dessert, Blueberry"
SUB Cloud Chemist Frosty Science Strawberry,"Frosted Flakes, Cereal, Milk, Dessert, Strawberry"
SUB Cloud Chemist Heisenberry Crunch,"Blueberry, Cereal, Milk, Dessert"
SUB Cloud Chemist Loopy Science,"Fruit Loops, Cereal, Milk, Dessert"
SUB Cloud Chemist Pebble Science,"Fruity Pebbles, Cereal, Milk, Dessert"
SUB Cloud Chemist The Alchemist,"Cinnamon, Sugar, Cinnamon Sugar, Cinnamon Toast Crunch, Cereal, Milk, Dessert"
SUB Cloud Chemist The Final Experiment,"Corn Pops, Maple, Cereal, Milk, Dessert"
SUB Cloud Nurdz Blue Raspberry Lemon,"Blue Razz, Blue Raspberry, Lemon, Candy, Fruit"
